"fid","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","CVE_MZA","AMBITO","TIPOMZA","POBTOT","POBFEM","POBMAS","P_0A2","P_0A2_F","P_0A2_M","P_3YMAS","P_3YMAS_F","P_3YMAS_M","P_5YMAS","P_5YMAS_F","P_5YMAS_M","P_12YMAS","P_12YMAS_F","P_12YMAS_M","P_15YMAS","P_15YMAS_F","P_15YMAS_M","P_18YMAS","P_18YMAS_F","P_18YMAS_M","P_3A5","P_3A5_F","P_3A5_M","P_6A11","P_6A11_F","P_6A11_M","P_8A14","P_8A14_F","P_8A14_M","P_12A14","P_12A14_F","P_12A14_M","P_15A17","P_15A17_F","P_15A17_M","P_18A24","P_18A24_F","P_18A24_M","P_15A49_F","P_60YMAS","P_60YMAS_F","P_60YMAS_M","REL_H_M","POB0_14","POB15_64","POB65_MAS","PROM_HNV","PNACENT","PNACENT_F","PNACENT_M","PNACOE","PNACOE_F","PNACOE_M","PRES2015","PRES2015_F","PRES2015_M","PRESOE15","PRESOE15_F","PRESOE15_M","P3YM_HLI","P3YM_HLI_F","P3YM_HLI_M","P3HLINHE","P3HLINHE_F","P3HLINHE_M","P3HLI_HE","P3HLI_HE_F","P3HLI_HE_M","P5_HLI","P5_HLI_NHE","P5_HLI_HE","PHOG_IND","POB_AFRO","POB_AFRO_F","POB_AFRO_M","PCON_DISC","PCDISC_MOT","PCDISC_VIS","PCDISC_LEN","PCDISC_AUD","PCDISC_M_1","PCDISC_MEN","PCON_LIMI","PCLIM_CSB","PCLIM_VIS","PCLIM_HACO","PCLIM_OAUD","PCLIM_MOT2","PCLIM_RE_C","PCLIM_PMEN","PSIND_LIM","P3A5_NOA","P3A5_NOA_F","P3A5_NOA_M","P6A11_NOA","P6A11_NOAF","P6A11_NOAM","P12A14NOA","P12A14NOAF","P12A14NOAM","P15A17A","P15A17A_F","P15A17A_M","P18A24A","P18A24A_F","P18A24A_M","P8A14AN","P8A14AN_F","P8A14AN_M","P15YM_AN","P15YM_AN_F","P15YM_AN_M","P15YM_SE","P15YM_SE_F","P15YM_SE_M","P15PRI_IN","P15PRI_INF","P15PRI_INM","P15PRI_CO","P15PRI_COF","P15PRI_COM","P15SEC_IN","P15SEC_INF","P15SEC_INM","P15SEC_CO","P15SEC_COF","P15SEC_COM","P18YM_PB","P18YM_PB_F","P18YM_PB_M","GRAPROES","GRAPROES_F","GRAPROES_M","PEA","PEA_F","PEA_M","PE_INAC","PE_INAC_F","PE_INAC_M","POCUPADA","POCUPADA_F","POCUPADA_M","PDESOCUP","PDESOCUP_F","PDESOCUP_M","PSINDER","PDER_SS","PDER_IMSS","PDER_ISTE","PDER_ISTEE","PAFIL_PDOM","PDER_SEGP","PDER_IMSSB","PAFIL_IPRI","PAFIL_OTRA","P12YM_SOLT","P12YM_CASA","P12YM_SEPA","PCATOLICA","PRO_CRIEVA","POTRAS_REL","PSIN_RELIG","TOTHOG","HOGJEF_F","HOGJEF_M","POBHOG","PHOGJEF_F","PHOGJEF_M","VIVTOT","TVIVHAB_2","TVIVPAR","VIVPAR_HAB","TVIVPARHAB","VIVPAR_DES","VIVPAR_UT","OCUPVIVPAR","PROM_OCUP","PRO_OCUP_C","VPH_PISODT","VPH_PISOTI","VPH_1DOR","VPH_2YMASD","VPH_1CUART","VPH_2CUART","VPH_3YMASC","VPH_C_ELEC","VPH_S_ELEC","VPH_AGUADV","VPH_AEASP","VPH_AGUAFV","VPH_TINACO","VPH_CISTER","VPH_EXCSA","VPH_LETR","VPH_DRENAJ","VPH_NODREN","VPH_C_SERV","VPH_NDEAED","VPH_DSADMA","VPH_NDACMM","VPH_SNBIEN","VPH_REFRI","VPH_LAVAD","VPH_HMICRO","VPH_AUTOM","VPH_MOTO","VPH_BICI","VPH_RADIO","VPH_TV","VPH_PC","VPH_TELEF","VPH_CEL","VPH_INTER","VPH_STVP","VPH_SPMVPI","VPH_CVJ","VPH_SINRTV","VPH_SINLTC","VPH_SINCIN","VPH_SINTIC","AREA_MZA","Centro_X","centro_Y","Administra","Administ_1","Administ_2","Administ_3","Administ_4","Contra.la","Contra.l_1","Contra.l_2","Daños.por","Derrame.o","Derrame._1","Derrame._2","Derrame._3","Disturbio.","Disturbi_1","Disturbi_2","Disturbi_3","Servicios.","Servicio_1","Servicio_2","TM.INTOXIC","DESORDEN_S"
19108,"0901700010403001",9,17,1,403,1,"Urbana","Típica",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100039.69095626,-99.1125675497066,19.4363451072408,1,3,0,0,1,0,1,0,0,4,0,0,0,0,3,5,4,0,0,0,0,22
19109,"0901700010390021",9,17,1,390,21,"Urbana","Típica",679,359,320,27,14,13,652,345,307,635,336,299,557,300,257,531,289,242,503,275,228,27,15,12,68,30,38,73,31,42,26,11,15,28,14,14,80,45,35,188,104,58,46,89.14,148,471,60,1.77,579,311,268,100,48,52,615,325,290,18,10,8,9,5,4,0,0,0,9,5,4,9,0,9,18,20,12,8,49,19,27,4,3,NA,3,169,35,129,4,25,3,33,13,454,7,4,3,NA,0,NA,0,0,0,21,11,10,26,16,10,NA,NA,NA,7,5,NA,9,6,3,24,20,4,65,40,25,18,9,9,142,70,72,258,136,122,10.27,9.93,10.67,351,162,189,206,138,68,337,157,180,14,5,9,205,474,298,72,NA,6,105,NA,NA,NA,221,246,90,500,77,14,88,200,90,110,679,307,372,227,200,227,200,200,21,6,679,3.4,1.01,199,NA,70,130,6,37,157,200,0,200,200,0,170,156,200,0,200,0,200,0,200,142,NA,187,161,123,46,19,32,153,185,102,122,180,149,78,61,38,6,6,35,NA,8526.28934884863,-99.1158112956461,19.4372899318539,1,3,1,0,0,0,0,1,0,0,0,1,0,1,2,0,2,0,0,0,0,12
19110,"0901700010390013",9,17,1,390,13,"Urbana","Típica",461,237,224,25,17,8,436,220,216,421,212,209,352,180,172,328,171,157,305,159,146,24,11,13,60,29,31,64,28,36,24,9,15,23,12,11,45,24,21,127,39,24,15,94.51,133,298,30,1.96,386,195,191,74,41,33,411,206,205,10,6,4,5,4,NA,0,0,0,5,4,NA,5,0,5,9,3,NA,NA,8,4,NA,NA,3,NA,0,28,19,8,4,8,NA,4,3,424,7,NA,5,3,NA,NA,NA,0,NA,13,7,6,14,7,7,0,0,0,6,5,NA,5,4,NA,16,10,6,36,17,19,18,10,8,104,60,44,140,66,74,9.84,9.5,10.21,229,98,131,123,82,41,219,96,123,10,NA,8,142,319,128,25,0,0,151,0,10,5,126,178,48,335,71,NA,54,136,58,78,461,196,265,147,136,147,136,136,10,NA,461,3.39,0.97,136,0,11,125,0,8,128,136,0,136,136,0,136,133,136,0,136,0,136,0,136,93,NA,125,113,82,38,12,19,104,132,48,87,125,104,55,31,28,NA,9,29,NA,7286.00718398154,-99.1166367854835,19.4384621220392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,7
19111,"0901700010390012",9,17,1,390,12,"Urbana","Típica",128,62,66,3,3,0,125,59,66,122,58,64,113,53,60,107,52,55,98,50,48,4,NA,NA,8,4,4,11,3,8,6,NA,5,9,NA,7,14,8,6,33,24,12,12,106.45,21,92,15,1.79,114,55,59,14,7,7,116,56,60,6,NA,4,4,NA,3,0,0,0,4,NA,3,4,0,4,7,4,3,NA,7,5,NA,NA,3,3,NA,21,6,15,0,8,0,8,3,99,NA,0,NA,NA,NA,NA,0,0,0,6,NA,5,4,NA,NA,0,0,0,0,0,0,NA,NA,NA,3,NA,NA,15,8,7,5,NA,3,28,10,18,50,28,22,9.91,10.06,9.76,80,36,44,33,17,16,79,35,44,NA,NA,0,51,77,36,12,0,0,30,0,0,0,41,51,21,86,24,3,15,37,10,27,128,29,99,38,37,37,36,37,NA,0,128,3.46,1.01,37,0,10,27,3,7,27,37,0,37,36,0,32,22,37,0,37,0,37,0,37,24,0,30,28,24,10,3,13,33,35,12,24,34,28,12,8,9,0,NA,9,0,1813.90608526766,-99.116699872608,19.4389903501976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19112,"0901700010390010",9,17,1,390,10,"Urbana","Contenedora",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8074.67576112744,-99.1187731872877,19.4395338649641,17,7,3,0,1,0,1,0,0,5,0,0,0,0,9,3,4,0,0,0,0,50
19113,"0901700010390009",9,17,1,390,9,"Urbana","Contenedora",65,32,33,NA,NA,NA,63,31,32,63,31,32,56,27,29,55,27,28,51,26,25,NA,0,NA,6,4,NA,5,3,NA,NA,0,NA,4,NA,3,10,5,5,15,7,4,3,103.13,10,52,3,2.07,49,26,23,16,6,10,55,30,25,8,NA,7,NA,0,NA,0,0,0,NA,0,NA,NA,0,NA,3,0,0,0,7,3,NA,0,NA,0,NA,7,3,5,0,0,0,NA,0,51,NA,0,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,3,NA,NA,7,6,NA,NA,0,NA,23,9,14,17,9,8,9.05,9.04,9.07,50,23,27,6,4,NA,50,23,27,0,0,0,31,34,24,3,0,0,4,0,NA,NA,21,16,19,46,NA,3,14,23,13,10,65,39,26,29,23,29,23,23,NA,5,65,2.83,1.02,22,0,7,15,NA,0,20,22,0,22,22,0,18,18,21,0,22,0,22,0,21,18,0,17,18,14,4,0,0,16,20,7,11,20,11,5,5,4,0,NA,8,0,4150.5832809424,-99.1196125414742,19.439726940992,0,2,0,0,0,1,0,0,0,1,0,2,0,0,2,2,1,0,0,1,0,12
19114,"0901700010371013",9,17,1,371,13,"Urbana","Típica",92,56,36,3,NA,NA,89,54,35,87,54,33,79,47,32,73,43,30,68,41,27,NA,0,NA,8,7,NA,11,8,3,6,4,NA,5,NA,3,7,4,3,26,16,10,6,64.29,19,58,15,1.36,74,44,30,18,12,6,86,53,33,NA,NA,0,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA,NA,4,NA,NA,7,4,0,NA,3,5,3,11,5,7,0,NA,3,5,NA,74,0,0,0,0,0,0,0,0,0,5,NA,3,4,3,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,5,3,NA,0,0,0,20,11,9,43,27,16,11.42,11.91,10.73,52,29,23,27,18,9,50,28,22,NA,NA,NA,33,59,28,16,0,0,17,0,NA,0,32,33,14,74,6,NA,11,29,12,17,92,31,61,29,29,29,29,29,0,0,92,3.17,0.65,29,0,9,20,0,0,29,29,0,29,29,0,29,17,29,0,29,0,29,0,29,16,0,25,21,18,12,NA,10,27,26,14,21,25,20,7,11,6,0,0,9,0,4444.90983586945,-99.1144142343785,19.4387493201344,2,5,0,0,0,0,0,0,0,0,0,0,0,1,6,3,3,0,0,1,0,21
19119,"0901700010390011",9,17,1,390,11,"Urbana","Típica",222,122,100,12,5,7,210,117,93,203,114,89,191,106,85,185,102,83,173,96,77,9,5,4,10,6,4,14,9,5,6,4,NA,12,6,6,24,13,11,66,39,25,14,81.97,37,157,28,1.61,187,109,78,35,13,22,201,113,88,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA,9,NA,NA,NA,17,10,5,NA,NA,NA,6,8,5,3,0,NA,0,NA,6,197,NA,0,NA,0,0,0,NA,NA,0,10,6,4,10,6,4,0,0,0,3,NA,NA,4,3,NA,4,NA,NA,27,17,10,4,3,NA,52,23,29,88,51,37,10.43,10.31,10.57,120,50,70,71,56,15,120,50,70,0,0,0,89,133,58,39,0,4,34,0,0,0,83,80,28,114,36,6,66,61,25,36,222,103,119,67,61,67,61,61,4,NA,222,3.64,1.09,61,0,18,43,NA,8,51,61,0,61,61,0,60,54,59,0,61,0,61,0,59,44,0,61,50,39,16,5,6,48,58,23,42,55,39,18,6,8,NA,0,21,0,3383.6469615025,-99.1176112352468,19.4391764787204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
19126,"0901700010367016",9,17,1,367,16,"Urbana","Típica",75,38,37,3,NA,NA,72,37,35,69,35,34,56,30,26,53,28,25,51,28,23,5,NA,3,11,5,6,10,5,5,3,NA,NA,NA,0,NA,8,3,5,21,5,3,NA,97.37,22,48,5,1.86,63,32,31,12,6,6,67,34,33,NA,NA,NA,4,NA,NA,0,0,0,4,NA,NA,4,0,4,6,0,0,0,6,4,NA,0,NA,NA,0,8,3,6,0,NA,0,NA,0,61,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,3,NA,NA,4,4,0,3,NA,NA,13,8,5,27,12,15,10.23,9.64,10.88,47,24,23,9,6,3,47,24,23,0,0,0,27,48,25,NA,0,0,21,0,0,0,21,28,7,60,3,0,12,24,9,15,75,29,46,29,24,29,24,24,3,NA,75,3.13,0.84,24,0,NA,22,NA,NA,22,24,0,24,24,0,24,23,24,0,24,0,24,0,24,17,NA,21,17,11,4,4,6,14,23,14,10,23,13,NA,7,6,NA,NA,7,NA,1560.04790408947,-99.1214067323303,19.4419311723087,0,5,0,0,0,0,0,0,0,1,0,2,0,0,9,5,1,0,0,0,0,23
19127,"0901700010367008",9,17,1,367,8,"Urbana","Típica",913,465,448,32,16,16,881,449,432,859,440,419,763,389,374,730,374,356,688,356,332,37,18,19,81,42,39,84,42,42,33,15,18,42,18,24,109,52,57,242,144,81,63,96.34,183,631,99,1.84,744,373,371,167,92,75,806,411,395,53,29,24,17,10,7,0,0,0,17,10,7,17,0,17,38,11,6,5,69,29,41,0,10,NA,3,128,27,84,7,23,3,24,10,708,11,6,5,0,0,0,0,0,0,32,14,18,42,21,21,NA,0,NA,11,8,3,11,6,5,35,24,11,75,38,37,38,17,21,205,102,103,346,173,173,10.28,10.13,10.44,537,256,281,226,133,93,529,255,274,8,NA,7,313,600,331,72,4,8,176,NA,11,NA,270,306,187,615,116,6,176,269,122,147,913,398,515,311,269,309,267,269,36,6,913,3.39,1,268,0,52,216,0,9,259,268,0,268,268,0,268,267,268,0,268,0,268,0,268,193,0,243,222,158,53,32,58,243,260,134,175,253,202,86,79,61,NA,3,58,NA,18022.2116309861,-99.1227617020752,19.4379772634388,0,2,0,0,0,0,3,1,0,0,1,3,0,4,4,3,1,0,0,0,0,22
